split,seed,candidate,checkpoint,window_id,doc_id,document_token_start,labels,nll
S,17,a00,20,0,71ff58ca29d05bef3a99fb59512ec09404e49be906888dc3ea5409ce8a54beea,0,511,2.369137763977051
S,17,a00,20,1,47ab999a2c488609314576fac2048b7f2a92afad8f7ca0326f23f648d515f167,1536,511,2.235511541366577
S,17,a00,20,2,c6ff7382a150214656a5c5d777769384c99d3ce7764110fc98e07e5e48fddc7e,1024,511,2.507312059402466
S,17,a00,20,3,8739f77bc09e02e5783efc804080eff63b9ae7da7008a0e4c6412b47aa6da1c2,2048,511,2.5655529499053955
S,17,a00,20,4,a7f7a2250dd6f72080e21112d92bdfd639fcbe8a5a9effd80028c67d5dddd416,0,511,2.504713773727417
S,17,a00,20,5,06cd6da2c73e993c43345dad24088c06b24d496ffc56f5f460b58cfa49d0f3df,0,511,1.6919429302215576
S,17,a00,20,6,3adf36bb00be5fa07541f544ce8642a56fcd3a01d456650deaabc83e91d791a1,1024,511,2.747427225112915
S,17,a00,20,7,34c9eb07c804b8ee651c4da1ac1dd801fec51c064819632bd8f4f36bd685b8a1,1024,511,3.060746908187866
S,17,a00,20,8,dcd008e03034d7dcffb4b6abd6aa6f0bfdf0a28ddd0b53dd37784e7c055f10bb,1536,511,2.4665868282318115
S,17,a00,20,9,4f58c96286c7c0f0417ea817ca24cf1c2db4ad3d19fdcdcf46124511fbf05b3e,512,511,2.8013100624084473
S,17,a00,20,10,7c5e18ef30b2c1c37d722f19397ccdf563e0428cdde5ff6b99a902d67975541f,5120,511,2.655773639678955
S,17,a00,20,11,47344d32192263b566ca14f66ce20553a4c76ff30204fae6639d7c1dde9a1f11,0,511,2.0406107902526855
S,17,a00,20,12,98aa6addc6d0697baff9ad72065efe34b866fb27cb0c3e094c328bb57b98cf2b,512,511,2.5693676471710205
S,17,a00,20,13,d6b58a86755a3af1a5a75d162cfd31bceb70ebe76d43dfd2b64d95def0331c1b,0,511,1.904893159866333
S,17,a00,20,14,c724dc11dc74fa10b6309922c9d014e010a88079d4ca2e3ca96ab091459b166e,0,511,2.3583807945251465
S,17,a00,20,15,aad6037cda830ea2edaf38a004ae82825aa4d21585b2c0f33197a34583613c19,3072,511,2.6671838760375977
S,17,a00,20,16,b7140ecf1283718c8b44dd77fefc16ef15f5d7579ad3d6f1da94324d11081ab5,0,511,2.531074285507202
S,17,a00,20,17,7c0883960fcd42892f41d565a6eb8675b26e6a7b184fa795ec1dea269c0d78f7,2560,511,3.059189558029175
S,17,a00,20,18,e461497c8cf9867275c7b0ab55899126e69b01926436f58a64e902baf22ad1d8,1024,511,2.900052785873413
S,17,a00,20,19,d236bd424f8c1de8ba7570984678d98d021bd9f796117156ee8c848d8b9e20df,512,511,2.0061416625976562
S,17,a00,20,20,b124bcdac530f87fa8b20ed6ba5af0bdc6e2e14fe6348e8e8d9aae3bbb14d7bf,1536,511,2.535416603088379
S,17,a00,20,21,398d9a5e65eb510a4b2165e08da91bc2e7a46f651fd4c2a7c82baca0e3f7c6f7,512,511,3.163595676422119
S,17,a00,20,22,398d4136fe8a7fe859af6d03e3be3e80b0a4a081aa81cad5dad14be6152fbb07,1024,511,2.691348075866699
S,17,a00,20,23,27c7a212b1dd328e6abafa8ce17f190f047ff7bf7b13546651705123022fac2b,2048,511,2.6226165294647217
S,17,a00,20,24,27e29aeb84cb9b2f80dc9061f35e33eb4710e31a4bda2e0ce985e2cb4c4af0d4,512,511,2.4965367317199707
S,17,a00,20,25,a7ab0eebec8ed5155f1c0b6b257ae3e70464155e9540fc6cb19d9b21ce07adbe,0,511,2.159379720687866
S,17,a00,20,26,87c73475752c7552f1b2dfb6631350662bd4d2392ea692266f7fd8d9d49255e6,5120,511,2.6310465335845947
S,17,a00,20,27,4dfcff9cdf6a84e7dc2d2f41f4beeb5bd4a850251f084dbb833319624ea2ba03,1536,511,2.8682918548583984
S,17,a00,20,28,c6a6c920ad14f9ced5cbb1a81a695ee0d1e0cec0886071763eca3b7609793f9a,512,511,2.943711996078491
S,17,a00,20,29,602491df734b58909d0bdd64c12964094178660aa935fe328832f5ac7c783ce5,6656,511,3.0315964221954346
S,17,a00,20,30,3d3334d8bb76a4a5d2667fcaaf08e5519258c23da3c0ed35b0fb51ab7750456a,512,511,2.5012729167938232
S,17,a00,20,31,a5c6bb2784e438e57e6c21063b5631ad6159e98fd0fdde6f0f393b1a6ad1ec91,0,511,2.661759376525879
S,17,a00,20,32,a75479aadac4ab0e14588bb3dbab971354b70cbb22f67008de6af0b25ce850de,6144,511,3.1253628730773926
S,17,a00,20,33,81985a3b78086a93d7e6ae3ddda453bf5a959744e65bc05418fc1b56f5ec10ca,512,511,2.4177114963531494
S,17,a00,20,34,2362e3d4278d695e409c7b7ff1512062454f8d035bc9076dff42c632a29fb2ee,0,511,2.172734022140503
S,17,a00,20,35,85cb58452e909342c236fc118e084fa9adcfddffc1ee3968baed9838eae6ef37,0,511,2.0195577144622803
S,17,a00,20,36,da80b33b4eb70c8d7b4c6a0fc009cedf34a39859057eb8700df906c788e6a4c8,0,511,2.3756721019744873
S,17,a00,20,37,2e3ac91c014b25eebddbb443aa8850683dfc0675b9fed2dc40ec8d5f64ec60d4,0,511,2.259066581726074
S,17,a00,20,38,3210f7ea4f8c2a390b5fc7a519a58dd185dc01a5700b89f95e427e52d0e581c9,512,511,2.886364459991455
S,17,a00,20,39,f5e1818470b34abce111d71989de48dff1e3e4ef0271749d38438e1b6693f635,1536,511,2.2982521057128906
S,17,a00,20,40,3ce4586556ea72a70c76b9203dca8969adc500af610389007ec255f56b1e169e,1024,511,2.742677688598633
S,17,a00,20,41,7b804a7a99e4de2942ef98de42165dacd3e16b944e6a538d55df1f634a23d48e,4096,511,2.8322596549987793
S,17,a00,20,42,f6dd4f9c768666495fe711e166071758aa6c2d321def74a3ae211027ce199501,512,511,3.172755718231201
S,17,a00,20,43,31ed14bec015eaaefb165002eb17b020eeb35031b1a592aff7d981de7c6899b3,0,511,2.3181891441345215
S,17,a00,20,44,b3ff1454cd3a072b015b88f94f6d6889d9c0bd745fc7a5433df7c0d43151854e,512,511,2.5549349784851074
S,17,a00,20,45,3ee074eadb149c8da6002c76352f4113d1c896c63c6c090fd621092749233d6a,8704,511,3.137860059738159
S,17,a00,20,46,5682e8596b594de16f03e38329a00d1bff4adee96204668f946a90f5292c8136,1024,511,2.782111883163452
S,17,a00,20,47,127630e33620c4206cd0e7ad6622f66b144b669ddf653964e56ce6654a7b32f0,3072,511,2.4437007904052734
S,17,a00,20,48,320f1288c0a9e6e7a3def263d7abab684526479abb06fc68e069fc1a9937c71d,1024,511,2.72086763381958
S,17,a00,20,49,58ac024cd69aa321476709f7b1742c6523bf4fb12233b5b6f60d680c8fca8e8e,1536,511,2.6683404445648193
S,17,a00,20,50,4f84e7678dedadbb233b28e11c014c0798eadf77020a5a8fb4d017d12c99e86d,2560,511,2.1279799938201904
S,17,a00,20,51,99db37e631f9ef519733c8a72d003864c2701de3091cf19e9eba387054fdacac,512,511,3.038719654083252
S,17,a00,20,52,0627479429bdaca6ad2b61ecd03d5b65cd330b0351b5ff8f878978d7b00c4ab2,0,511,2.5500435829162598
S,17,a00,20,53,c1e3085f9b150f54416c89fdea9cdb29ceef7e5050e94af9eafe2053fffe3e64,3584,511,2.2634856700897217
S,17,a00,20,54,0e6b290375d52c7b5c4cd74b4c7348611213caa15ca0e87d7f6426f9e0f86e04,2048,511,2.5935957431793213
S,17,a00,20,55,16f297fd545d4a150c1908347430e076e51e3560238877a2eec2ac020b7d3bc9,3584,511,2.5093228816986084
S,17,a00,20,56,243408a375c7d0c1fda52538ba71d700e4d403fd2764c7491c7c1a9b7d7fd7a9,0,511,2.580564022064209
S,17,a00,20,57,93133535594204a5a3625fc7b90ff6ad027dca329f0359370d232d4135e91bc1,512,511,2.386124610900879
S,17,a00,20,58,7c74fa4376b1168685d5d288b916d3317d340aad3044f88d5ca673b76d875d1c,1536,511,2.3798093795776367
S,17,a00,20,59,447ea32f527637dcb6ef068962a2fabe21ec283698e144c45ed42c46e1b27772,0,511,2.661407232284546
S,17,a00,20,60,6db7dd742bd03a22121dc39ee8773c9afa1462f4efce21abbe54dc33c4285b1f,0,511,2.3726890087127686
S,17,a00,20,61,dc8a961be5dc24fc777b38869adf84cfc37bbe2f28514ceb0e344d39b7e01906,512,511,2.7028098106384277
S,17,a00,20,62,3ca10415cf1f0bc4955c7ef0d186c8e93deb4aece0aaaa5fb553b43dfe5ad2aa,0,511,2.6549062728881836
S,17,a00,20,63,6e5c6769277c87aeaf9a4fd680fad1720ce04660f567befd8a9f8c68dde50f64,0,511,2.4569272994995117
S,17,a00,50,0,71ff58ca29d05bef3a99fb59512ec09404e49be906888dc3ea5409ce8a54beea,0,511,2.264631509780884
